Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2020,"LAD",60,43,17,3.0241343562674783,309,60,18,0,0,15,45,9,538.2,2172,424,213,181,66,145,4,21,24,0,517
2020,"WSN",60,26,34,5.092652629300514,262,60,16,2,0,12,39,9,503.2,2273,548,301,285,94,216,22,22,23,4,508
2020,"OAK",60,36,24,3.7723166259901024,241,60,19,1,1,17,32,4,515.1,2164,471,232,216,69,165,6,15,16,1,506
2020,"ATL",60,35,25,4.462809940100168,288,60,13,0,0,13,30,6,524.1,2276,494,288,260,69,220,13,33,23,2,506
2020,"TEX",60,22,38,5.016774666197759,264,60,17,2,1,10,15,9,516.2,2273,479,312,288,81,236,3,30,21,2,489
2020,"SFG",60,29,31,4.6419843042814435,296,60,11,1,0,13,42,10,517.2,2240,474,297,267,69,210,2,34,20,5,488
2020,"BAL",60,25,35,4.5115691204877795,267,60,10,0,0,11,31,7,518.2,2246,489,294,260,79,192,2,34,35,4,487
2020,"SEA",60,27,33,5.034192754579845,249,60,25,1,0,15,28,8,516.2,2249,482,303,289,79,230,7,37,24,1,469
2020,"STL",58,30,28,3.9196611080498833,234,58,18,2,0,13,17,5,473,1989,376,229,206,69,204,8,26,21,1,464
2020,"MIA",60,31,29,4.857144161366496,275,60,16,1,0,18,25,4,504,2214,506,304,272,82,226,14,26,11,4,451
2020,"DET",58,23,35,5.630331405804693,276,58,9,1,0,11,25,8,492.1,2174,511,318,308,91,192,2,34,18,0,444
2020,"COL",60,26,34,5.591512575424778,249,60,28,1,0,16,20,8,526.1,2335,579,353,327,83,205,5,40,29,1,393
